epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,0.540517,0.69469,0.5,1,0.79932,0,0,0
2,1.35937,0.74018,0.5,1,0.7815,1.58448e-05,1.58448e-05,1.58448e-05
3,1.84755,0.70296,0.5,1,0.76507,3.00393e-05,3.00393e-05,3.00393e-05
4,2.33548,0.6796,0.5,1,0.73484,4.25835e-05,4.25835e-05,4.25835e-05
5,2.83349,0.69197,0.5,1,0.7087,5.34774e-05,5.34774e-05,5.34774e-05
6,3.40061,0.61664,0.5,1,0.67032,6.27209e-05,6.27209e-05,6.27209e-05
7,3.91648,0.587,0.5,1,0.63446,7.03141e-05,7.03141e-05,7.03141e-05
8,4.44029,0.64732,0.5,1,0.61058,7.62569e-05,7.62569e-05,7.62569e-05
9,4.92686,0.57492,1,1,0.56806,8.05494e-05,8.05494e-05,8.05494e-05
10,5.42433,0.51131,1,1,0.52473,8.31916e-05,8.31916e-05,8.31916e-05
11,5.92347,0.55141,1,1,0.486,8.41835e-05,8.41835e-05,8.41835e-05
12,6.43295,0.46859,1,1,0.44891,8.3525e-05,8.3525e-05,8.3525e-05
13,6.92401,0.5223,1,1,0.42102,8.12162e-05,8.12162e-05,8.12162e-05
14,7.41344,0.4777,1,1,0.39276,7.72571e-05,7.72571e-05,7.72571e-05
15,7.97676,0.3785,1,1,0.36122,7.16477e-05,7.16477e-05,7.16477e-05
16,8.45412,0.39406,1,1,0.33793,6.43879e-05,6.43879e-05,6.43879e-05
17,8.985,0.36089,1,1,0.31914,5.54778e-05,5.54778e-05,5.54778e-05
18,9.48999,0.33595,1,1,0.30082,4.49173e-05,4.49173e-05,4.49173e-05
19,10.0534,0.28708,1,1,0.29268,3.27065e-05,3.27065e-05,3.27065e-05
20,10.5611,0.4117,1,1,0.28025,1.88454e-05,1.88454e-05,1.88454e-05
